sample_id,config,accurate,latency,cost,tree_cost,has_tree
multihop-232,A1,1.0,6.891145944595337,0.00015402,0.0,0
multihop-233,A1,0.0,2.1280641555786133,0.00017609999999999997,0.0,0
multihop-234,A1,0.0,3.2561588287353516,0.00018636,0.0,0
multihop-235,A1,1.0,1.6952152252197266,0.00019272,0.0,0
multihop-236,A1,1.0,10.755526065826416,0.00021894,0.0,0
multihop-237,A1,1.0,5.600386142730713,0.00021137999999999997,0.0,0
multihop-238,A1,0.0,8.289200782775879,0.00021588,0.0,0
multihop-239,A1,1.0,2.2487099170684814,0.00012282,0.0,0
multihop-240,A1,1.0,3.0565531253814697,0.00016865999999999997,0.0,0
multihop-241,A1,1.0,2.0495262145996094,0.00013716,0.0,0
multihop-242,A1,0.0,7.797473907470703,0.00014202,0.0,0
multihop-243,A1,0.0,1.5577962398529053,0.00016548,0.0,0
multihop-244,A1,0.0,2.623260974884033,0.00023142,0.0,0
multihop-245,A1,0.0,0.7443101406097412,0.00022266,0.0,0
multihop-246,A1,1.0,13.629390716552734,0.00022511999999999999,0.0,0
multihop-247,A1,0.0,33.935991048812866,0.00021606,0.0,0
multihop-248,A1,1.0,5.694297790527344,0.0001623,0.0,0
multihop-249,A1,1.0,12.251285076141357,0.00018666,0.0,0
multihop-250,A1,1.0,2.2250940799713135,0.00021425999999999997,0.0,0
multihop-251,A1,1.0,1.2293670177459717,0.00020982,0.0,0
multihop-252,A1,1.0,2.621371030807495,0.00018792,0.0,0
multihop-253,A1,0.0,0.7821719646453857,0.0001971,0.0,0
multihop-254,A1,1.0,18.3438138961792,0.0002046,0.0,0
multihop-255,A1,0.0,4.989425897598267,0.00017922,0.0,0
multihop-256,A1,1.0,1.766740083694458,0.00021365999999999998,0.0,0
multihop-257,A1,1.0,1.7323739528656006,0.0001836,0.0,0
multihop-258,A1,1.0,0.8109438419342041,0.00018456,0.0,0
multihop-259,A1,0.0,0.9542107582092285,0.0001629,0.0,0
multihop-260,A1,1.0,2.3821749687194824,0.00020922,0.0,0
multihop-261,A1,1.0,3.1913838386535645,0.00017700000000000002,0.0,0
multihop-262,A1,1.0,1.3997998237609863,0.00020142,0.0,0
multihop-263,A1,0.0,1.578955888748169,0.00017202,0.0,0
multihop-264,A1,1.0,3.472391128540039,0.00018150000000000002,0.0,0
multihop-265,A1,1.0,1.8911926746368408,0.00019902,0.0,0
multihop-266,A1,1.0,1.4168891906738281,0.00018275999999999996,0.0,0
multihop-267,A1,0.0,26.583569049835205,0.00019512,0.0,0
multihop-268,A1,0.0,1.86307692527771,0.00020382,0.0,0
multihop-269,A1,1.0,3.169404983520508,0.00019662,0.0,0
multihop-270,A1,0.0,1.5372471809387207,0.00020856,0.0,0
multihop-271,A1,1.0,1.9310309886932373,0.00021101999999999997,0.0,0
multihop-272,A1,0.0,1.323084831237793,0.00017567999999999997,0.0,0
multihop-273,A1,0.0,0.7716779708862305,0.00017478,0.0,0
multihop-274,A1,1.0,3.899336099624634,0.00019086,0.0,0
multihop-275,A1,1.0,2.413559675216675,0.00016752,0.0,0
multihop-276,A1,0.0,6.51462197303772,0.0002028,0.0,0
multihop-277,A1,1.0,2.762420892715454,0.00019554,0.0,0
multihop-278,A1,0.0,1.5747449398040771,0.00020135999999999998,0.0,0
